Date,Open,High,Low,Close,Pre Settle,Settle,Volume,Open Interest,Turnover
2020-09-28,858.5,877.5,856.0,876.5,856.0,868.0,8333.0,10431.0,723369.9
2020-09-25,851.0,863.0,848.5,859.0,856.0,856.0,5504.0,9180.0,471203.65
2020-09-24,865.0,869.0,848.0,853.5,865.5,856.0,9588.0,9083.0,820870.9
2020-09-23,872.0,878.5,849.5,866.0,866.5,865.5,11264.0,10215.0,975102.65
2020-09-22,870.0,879.5,852.5,872.0,877.5,866.5,6712.0,9866.0,581868.45
2020-09-21,886.5,891.0,869.0,872.5,881.0,877.5,7697.0,9597.0,675720.65
2020-09-18,868.0,889.5,864.0,886.5,870.0,881.0,6997.0,9161.0,616508.0
2020-09-17,870.0,878.0,861.5,873.0,882.0,870.0,9376.0,8892.0,816132.8
2020-09-16,894.5,896.0,864.5,871.0,899.5,882.0,9850.0,8791.0,869170.1
2020-09-15,909.0,910.5,891.5,891.5,900.5,899.5,6594.0,8215.0,593439.5
2020-09-14,898.0,907.5,892.5,907.0,886.5,900.5,8240.0,7662.0,742020.75
2020-09-11,873.5,897.0,873.5,896.0,888.5,886.5,9215.0,7688.0,817150.55
2020-09-10,888.0,900.0,876.0,879.5,896.5,888.5,10008.0,8028.0,889331.4
2020-09-09,900.0,912.0,882.0,882.5,908.0,896.5,6971.0,8452.0,625199.45
2020-09-08,904.0,916.0,896.5,898.5,912.0,908.0,5082.0,8900.0,461594.85
2020-09-07,907.0,921.5,898.0,904.0,902.5,912.0,8205.0,9349.0,748348.3
2020-09-04,909.0,914.0,892.5,902.5,912.0,902.5,6399.0,10269.0,577748.5
2020-09-03,903.0,920.0,903.0,909.5,897.0,912.0,10048.0,10858.0,916508.9
2020-09-02,898.0,903.5,891.5,900.0,896.5,897.0,10338.0,12192.0,927699.45
2020-09-01,893.5,902.5,891.0,895.5,893.5,896.5,7964.0,14117.0,714186.55
2020-08-31,881.0,908.0,880.0,894.5,871.0,893.5,75198.0,14339.0,6720352.15
2020-08-28,860.5,884.0,855.0,882.0,861.0,871.0,73650.0,12880.0,6415714.0
2020-08-27,865.0,870.5,855.5,858.5,860.0,861.0,44426.0,11968.0,3826804.5
2020-08-26,857.5,867.0,853.0,866.5,870.5,860.0,13693.0,11453.0,1178209.8
2020-08-25,885.0,887.0,857.0,857.5,889.0,870.5,7343.0,10137.0,639438.8
2020-08-24,887.5,896.5,882.5,885.0,891.5,889.0,5851.0,10684.0,520290.8
2020-08-21,883.5,902.0,883.5,892.5,888.5,891.5,7933.0,10690.0,707284.65
2020-08-20,887.0,892.5,884.0,889.0,887.0,888.5,8697.0,10514.0,772846.35
2020-08-19,901.0,901.0,879.0,889.5,873.5,887.0,12875.0,10126.0,1142457.5
2020-08-18,862.0,885.0,860.0,885.0,863.5,873.5,10772.0,9851.0,941002.15
2020-08-17,854.0,871.0,852.5,862.0,869.5,863.5,10733.0,9479.0,926956.65
2020-08-14,861.5,877.5,858.5,872.5,861.5,869.5,10521.0,9216.0,915266.0
2020-08-13,873.0,879.0,850.0,863.0,855.5,861.5,9503.0,8343.0,819109.3
2020-08-12,870.5,871.5,844.0,868.0,874.0,855.5,10256.0,8017.0,877798.2
2020-08-11,860.5,879.5,860.5,869.0,851.5,874.0,11552.0,7135.0,1009845.3
2020-08-10,854.5,862.0,843.0,858.0,857.5,851.5,14561.0,6554.0,1240575.85
2020-08-07,865.5,867.0,841.0,854.5,861.5,857.5,9660.0,5744.0,828373.65
2020-08-06,844.0,869.5,844.0,865.5,838.5,861.5,9841.0,5547.0,848055.85
2020-08-05,840.0,851.5,827.5,843.5,839.5,838.5,8552.0,5223.0,717247.1
2020-08-04,831.0,846.0,829.0,843.0,815.5,839.5,8343.0,5008.0,700444.65
2020-08-03,804.0,828.5,796.5,826.0,793.0,815.5,12524.0,4253.0,1021380.15
2020-07-31,793.5,803.5,776.5,803.0,791.0,793.0,4700.0,3472.0,372781.75
2020-07-30,793.0,800.5,784.0,793.5,781.5,791.0,4231.0,3519.0,334846.5
2020-07-29,772.5,791.5,771.0,791.5,773.0,781.5,2529.0,3197.0,197763.65
2020-07-28,768.5,783.5,767.5,772.0,775.5,773.0,3889.0,3200.0,300789.9
2020-07-27,786.0,792.5,764.5,768.5,790.5,775.5,5203.0,3033.0,403635.15
2020-07-24,802.0,804.5,773.0,784.5,802.0,790.5,8692.0,2988.0,687336.4
2020-07-23,803.0,811.0,793.0,802.0,804.0,802.0,7146.0,3090.0,573324.35
2020-07-22,797.5,815.5,792.5,799.0,789.0,804.0,9214.0,3406.0,740964.65
2020-07-21,774.5,800.5,771.5,796.5,776.0,789.0,8214.0,3780.0,648308.6
2020-07-20,779.5,783.5,769.5,775.5,774.0,776.0,19414.0,4654.0,1507263.35
2020-07-17,775.0,784.5,761.0,780.5,781.5,774.0,6332.0,4660.0,490318.85
2020-07-16,782.5,790.0,771.5,778.0,782.0,781.5,8453.0,4772.0,660701.2
2020-07-15,787.5,792.0,775.0,786.5,785.0,782.0,5454.0,4742.0,426699.45
2020-07-14,782.5,794.0,777.0,788.0,773.5,785.0,6024.0,4781.0,473037.85
2020-07-13,754.0,790.0,753.5,782.0,751.0,773.5,6951.0,4625.0,537857.5
2020-07-10,750.5,756.0,745.5,751.0,750.5,751.0,4992.0,4605.0,375134.8
2020-07-09,747.5,758.0,743.5,748.5,741.0,750.5,5556.0,4699.0,417170.7
2020-07-08,728.0,748.5,727.5,746.5,727.0,741.0,6294.0,4821.0,466608.1
2020-07-07,716.0,733.5,713.5,728.0,709.5,727.0,3238.0,5106.0,235438.05
2020-07-06,707.0,721.5,704.0,714.0,707.0,709.5,4735.0,5281.0,335951.9
2020-07-03,705.0,710.5,702.5,708.5,705.5,707.0,2811.0,4789.0,198853.35
2020-07-02,703.0,710.5,700.0,703.0,704.5,705.5,2522.0,4660.0,177937.6
2020-07-01,705.5,712.0,695.5,705.0,702.5,704.5,1077.0,4157.0,75925.95
2020-06-30,700.0,712.0,699.0,705.0,711.0,702.5,2614.0,4045.0,183661.7
2020-06-29,721.0,725.0,695.0,697.0,721.0,711.0,2845.0,5309.0,202330.95
2020-06-24,718.0,730.5,718.0,728.5,717.0,721.0,3868.0,5944.0,278970.05
2020-06-23,718.0,722.0,710.0,719.0,720.0,717.0,4643.0,7977.0,333036.15
2020-06-22,731.5,732.0,712.0,714.0,730.5,720.0,2858.0,10083.0,205789.0
2020-06-19,726.0,736.5,726.0,730.0,727.5,730.5,2358.0,9967.0,172361.75
